datetime,open,high,low,close,volume
2025-03-06 00:00:00,146.17,147.0,144.45,144.68,678964.0
2025-03-06 01:00:00,144.69,149.12,144.62,147.11,1304862.0
2025-03-06 02:00:00,147.11,149.02,146.89,148.73,855696.0
2025-03-06 03:00:00,148.73,150.61,147.86,148.65,1070271.0
2025-03-06 04:00:00,148.65,150.16,147.55,149.71,973339.0
2025-03-06 05:00:00,149.71,150.57,148.35,149.89,814885.0
2025-03-06 06:00:00,149.9,150.05,148.33,148.78,625597.0
2025-03-06 07:00:00,148.77,149.5,148.28,148.57,511561.0
2025-03-06 08:00:00,148.57,151.84,148.24,150.73,1318376.0
2025-03-06 09:00:00,150.72,150.79,148.7,148.89,1026661.0
2025-03-06 10:00:00,148.88,152.85,148.56,152.29,1327681.0
2025-03-06 11:00:00,152.29,152.67,151.13,151.59,733678.0
2025-03-06 12:00:00,151.59,151.81,148.18,148.76,1302768.0
2025-03-06 13:00:00,148.76,149.22,146.36,146.63,1540946.0
2025-03-06 14:00:00,146.64,148.3,144.93,146.31,1594867.0
2025-03-06 15:00:00,146.32,150.13,146.0,148.96,1468206.0
2025-03-06 16:00:00,148.96,149.36,144.66,144.95,1221525.0
2025-03-06 17:00:00,144.95,144.95,142.6,143.75,1514729.0
2025-03-06 18:00:00,143.75,144.36,142.46,143.14,706587.0
2025-03-06 19:00:00,143.14,144.75,142.32,143.5,806495.0
2025-03-06 20:00:00,143.5,144.84,143.28,144.0,666317.0
2025-03-06 21:00:00,144.0,145.25,143.14,144.28,553069.0
2025-03-06 22:00:00,144.29,145.85,143.08,143.55,916494.0
2025-03-06 23:00:00,143.55,144.5,143.1,143.22,435194.0
2025-03-07 00:00:00,143.22,145.5,135.0,136.4,4738006.0
2025-03-07 01:00:00,136.4,141.69,135.88,140.56,2516155.0
2025-03-07 02:00:00,140.55,141.9,139.66,140.63,1066505.0
2025-03-07 03:00:00,140.63,141.67,140.42,140.74,469403.0
2025-03-07 04:00:00,140.74,142.1,140.54,140.94,448009.0
2025-03-07 05:00:00,140.94,143.57,140.84,143.08,863754.0
2025-03-07 06:00:00,143.08,144.05,142.11,143.48,537942.0
2025-03-07 07:00:00,143.48,144.54,143.28,144.23,618171.0
2025-03-07 08:00:00,144.23,144.63,143.11,143.98,600214.0
2025-03-07 09:00:00,143.98,146.13,143.15,143.59,1349844.0
2025-03-07 10:00:00,143.59,143.85,142.53,143.58,752534.0
2025-03-07 11:00:00,143.58,144.42,142.85,143.51,605949.0
2025-03-07 12:00:00,143.52,144.03,141.62,142.52,1140675.0
2025-03-07 13:00:00,142.51,147.28,142.46,144.08,2114668.0
2025-03-07 14:00:00,144.08,148.1,142.6,146.23,1951050.0
2025-03-07 15:00:00,146.24,147.34,143.04,144.84,2122950.0
2025-03-07 16:00:00,144.84,145.92,141.59,142.28,2394725.0
2025-03-07 17:00:00,142.28,144.78,141.23,143.33,1633741.0
2025-03-07 18:00:00,143.33,149.7,142.86,149.58,1795925.0
2025-03-07 19:00:00,149.58,150.86,145.74,146.3,2269311.0
2025-03-07 20:00:00,146.29,147.59,143.13,144.92,1932530.0
2025-03-07 21:00:00,144.91,145.46,141.65,142.67,2063147.0
2025-03-07 22:00:00,142.66,143.01,140.49,140.99,846258.0
2025-03-07 23:00:00,140.99,141.13,137.25,139.31,1887788.0
2025-03-08 00:00:00,139.31,140.79,138.48,140.58,742872.0
2025-03-08 01:00:00,140.58,140.99,137.73,139.37,991735.0
2025-03-08 02:00:00,139.38,139.98,138.66,139.62,453370.0
2025-03-08 03:00:00,139.63,139.91,138.23,139.59,345796.0
2025-03-08 04:00:00,139.58,140.92,138.86,140.81,439683.0
2025-03-08 05:00:00,140.82,140.85,138.62,139.21,487546.0
2025-03-08 06:00:00,139.2,139.93,138.53,139.06,404840.0
2025-03-08 07:00:00,139.06,139.79,138.22,138.69,460117.0
2025-03-08 08:00:00,138.69,138.92,137.49,137.76,437349.0
2025-03-08 09:00:00,137.76,139.13,137.63,137.87,480749.0
2025-03-08 10:00:00,137.88,138.65,137.69,138.22,337197.0
2025-03-08 11:00:00,138.23,138.24,136.51,137.5,746507.0
2025-03-08 12:00:00,137.49,138.31,136.56,137.53,581709.0
2025-03-08 13:00:00,137.54,138.68,137.13,137.56,555242.0
2025-03-08 14:00:00,137.55,138.02,136.69,136.97,462071.0
2025-03-08 15:00:00,136.96,137.6,136.02,137.12,536997.0
2025-03-08 16:00:00,137.12,137.33,135.34,136.06,866544.0
2025-03-08 17:00:00,136.07,137.33,135.19,136.95,759000.0
2025-03-08 18:00:00,136.94,137.86,136.53,137.67,342374.0
2025-03-08 19:00:00,137.67,138.82,137.11,138.35,370687.0
2025-03-08 20:00:00,138.34,138.5,137.45,137.55,229471.0
2025-03-08 21:00:00,137.56,138.46,137.14,137.25,258659.0
2025-03-08 22:00:00,137.25,137.44,136.27,137.22,452900.0
2025-03-08 23:00:00,137.23,137.69,136.41,136.92,290173.0
2025-03-09 00:00:00,136.93,138.16,136.44,137.98,347763.0
2025-03-09 01:00:00,137.99,138.45,137.33,137.79,362987.0
2025-03-09 02:00:00,137.79,138.04,136.83,137.07,303970.0
2025-03-09 03:00:00,137.08,138.27,136.72,137.85,295773.0
2025-03-09 04:00:00,137.85,138.61,137.6,138.44,291440.0
2025-03-09 05:00:00,138.44,139.46,137.98,138.72,452861.0
2025-03-09 06:00:00,138.73,138.77,137.61,138.46,377228.0
2025-03-09 07:00:00,138.45,139.79,138.22,139.55,477881.0
2025-03-09 08:00:00,139.55,139.72,138.8,139.13,338910.0
2025-03-09 09:00:00,139.14,139.52,137.74,137.97,487173.0
2025-03-09 10:00:00,137.97,138.24,135.55,135.93,1102549.0
2025-03-09 11:00:00,135.93,136.73,135.59,136.23,757943.0
2025-03-09 12:00:00,136.23,136.37,134.14,135.43,1024035.0
2025-03-09 13:00:00,135.43,135.44,133.01,133.06,1104613.0
2025-03-09 14:00:00,133.07,133.94,132.2,133.23,1262748.0
2025-03-09 15:00:00,133.23,133.48,129.76,130.1,1572471.0
2025-03-09 16:00:00,130.1,131.5,127.64,127.91,2359514.0
2025-03-09 17:00:00,127.9,128.56,126.23,126.45,2210604.0
2025-03-09 18:00:00,126.45,128.47,125.71,127.52,2000623.0
2025-03-09 19:00:00,127.5,129.93,127.4,129.09,1064164.0
2025-03-09 20:00:00,129.1,130.49,128.2,128.21,940008.0
2025-03-09 21:00:00,128.22,128.59,127.11,127.83,719917.0
2025-03-09 22:00:00,127.82,127.99,126.42,126.89,929744.0
2025-03-09 23:00:00,126.88,127.7,125.37,126.42,1254238.0
2025-03-10 00:00:00,126.42,127.89,124.0,127.3,2220364.0
2025-03-10 01:00:00,127.31,128.33,126.49,127.27,886387.0
2025-03-10 02:00:00,127.26,129.06,126.59,127.46,914452.0
2025-03-10 03:00:00,127.46,127.55,126.34,126.5,626448.0
2025-03-10 04:00:00,126.5,128.28,126.36,128.27,496964.0
2025-03-10 05:00:00,128.25,129.1,127.53,127.59,892209.0
2025-03-10 06:00:00,127.6,127.95,126.63,127.4,523824.0
2025-03-10 07:00:00,127.39,128.27,127.07,128.01,450285.0
2025-03-10 08:00:00,128.01,128.4,125.85,126.08,966742.0
2025-03-10 09:00:00,126.07,131.5,126.06,128.12,2756645.0
2025-03-10 10:00:00,128.12,128.81,126.61,127.6,910193.0
2025-03-10 11:00:00,127.59,130.34,127.21,129.86,974832.0
2025-03-10 12:00:00,129.87,130.82,128.21,129.35,1148200.0
2025-03-10 13:00:00,129.35,129.56,124.68,124.9,1929679.0
2025-03-10 14:00:00,124.91,124.97,120.15,121.23,4703586.0
2025-03-10 15:00:00,121.23,124.12,120.64,121.88,2975809.0
2025-03-10 16:00:00,121.87,122.28,120.07,120.71,1590371.0
2025-03-10 17:00:00,120.71,120.88,116.58,117.51,4256925.0
2025-03-10 18:00:00,117.51,119.48,115.43,115.83,2995783.0
2025-03-10 19:00:00,115.83,120.12,115.45,119.63,2608986.0
2025-03-10 20:00:00,119.64,120.19,117.48,118.65,1370284.0
2025-03-10 21:00:00,118.64,119.91,118.05,118.72,822690.0
2025-03-10 22:00:00,118.73,119.4,117.52,118.94,854028.0
2025-03-10 23:00:00,118.94,119.82,117.87,118.26,827660.0
2025-03-11 00:00:00,118.27,119.61,111.83,115.62,5126538.0
2025-03-11 01:00:00,115.62,119.19,113.85,119.07,3004267.0
2025-03-11 02:00:00,119.08,120.61,119.02,119.99,1717377.0
2025-03-11 03:00:00,119.99,121.83,119.75,119.91,1042706.0
2025-03-11 04:00:00,119.91,121.44,119.7,120.97,846033.0
2025-03-11 05:00:00,120.97,123.81,120.89,123.21,1683419.0
2025-03-11 06:00:00,123.22,123.9,122.51,122.67,667443.0
2025-03-11 07:00:00,122.67,123.97,122.38,123.05,808930.0
2025-03-11 08:00:00,123.04,124.62,122.91,124.03,966020.0
2025-03-11 09:00:00,124.03,124.94,123.5,123.69,1148180.0
2025-03-11 10:00:00,123.68,124.6,123.32,124.23,569664.0
2025-03-11 11:00:00,124.22,125.78,123.61,124.63,831199.0
2025-03-11 12:00:00,124.64,124.8,122.89,122.92,1177387.0
2025-03-11 13:00:00,122.92,126.27,121.32,122.67,3508341.0
2025-03-11 14:00:00,122.67,123.62,118.53,119.85,3862671.0
2025-03-11 15:00:00,119.85,125.45,119.67,124.94,2308909.0
2025-03-11 16:00:00,124.93,126.71,123.66,125.38,1553420.0
2025-03-11 17:00:00,125.37,125.79,122.76,124.0,1360084.0
2025-03-11 18:00:00,124.0,128.1,123.91,127.58,1797881.0
2025-03-11 19:00:00,127.59,128.36,126.69,128.06,1002859.0
2025-03-11 20:00:00,128.05,128.17,126.35,126.5,664727.0
2025-03-11 21:00:00,126.5,127.55,125.7,125.96,781797.0
2025-03-11 22:00:00,125.96,126.72,125.67,126.11,586131.0
2025-03-11 23:00:00,126.12,126.26,125.02,125.28,456680.0
2025-03-12 00:00:00,125.27,126.04,124.31,125.06,757344.0
2025-03-12 01:00:00,125.06,126.97,124.91,126.08,684315.0
2025-03-12 02:00:00,126.09,126.15,123.43,123.7,1014368.0
2025-03-12 03:00:00,123.7,124.18,122.38,122.48,876748.0
2025-03-12 04:00:00,122.47,122.98,121.16,122.11,1478861.0
2025-03-12 05:00:00,122.12,122.67,121.73,122.01,944696.0
2025-03-12 06:00:00,122.0,122.8,121.37,121.99,614510.0
2025-03-12 07:00:00,121.98,123.46,121.95,123.11,1121403.0
2025-03-12 08:00:00,123.11,125.99,122.77,125.31,1334645.0
2025-03-12 09:00:00,125.32,126.14,123.52,124.52,1129652.0
2025-03-12 10:00:00,124.52,124.91,123.37,124.44,541817.0
2025-03-12 11:00:00,124.43,126.77,124.43,126.68,745481.0
2025-03-12 12:00:00,126.68,131.26,126.14,129.39,3683915.0
2025-03-12 13:00:00,129.38,129.68,125.37,125.84,2308843.0
2025-03-12 14:00:00,125.84,126.18,124.23,124.89,1670194.0
2025-03-12 15:00:00,124.9,125.02,122.99,124.45,1805166.0
2025-03-12 16:00:00,124.44,125.4,123.41,124.16,1520292.0
2025-03-12 17:00:00,124.16,126.23,123.49,123.73,1177226.0
2025-03-12 18:00:00,123.73,125.29,123.21,124.4,1086164.0
2025-03-12 19:00:00,124.4,125.41,123.5,124.95,895198.0
2025-03-12 20:00:00,124.95,125.59,123.85,125.07,715309.0
2025-03-12 21:00:00,125.06,127.08,125.04,125.77,1248545.0
